INLINE GenericMusicTable,Player Phase,Enemy Phase
0x55,0x19,0x1a
0x56,0x19,0x1a
0x57,0x19,0x1a
0x58,0x19,0x1a
0x59,0x19,0x1a
0x5a,0x19,0x1a
0x5b,0x19,0x1a
0x5c,0x19,0x1a
0x5d,0x19,0x1a
0x5e,0x19,0x1a
0x5f,0x19,0x1a
0x60,0x19,0x1a
0x61,0x19,0x1a
0x62,0x19,0x1a
0x63,0x19,0x1a
0x64,0x19,0x1a
0x65,0x19,0x1a
0x66,0x19,0x1a
0x67,0x19,0x1a
0x68,0x19,0x1a
0x69,0x19,0x1a
0x6a,0x19,0x1a
0x6b,0x19,0x1a
0x6c,0x19,0x1a
0x6d,0x19,0x1a
0x6e,0x19,0x1a
0x6f,0x19,0x1a
0x70,0x19,0x1a
0x71,0x19,0x1a
0x72,0x19,0x1a
0x73,0x19,0x1a
0x74,0x19,0x1a
0x75,0x19,0x1a
0x76,0x19,0x1a
0x77,0x19,0x1a
0x78,0x19,0x1a
0x79,0x19,0x1a
0x7a,0x19,0x1a
0x7b,0x19,0x1a
0x7c,0x19,0x1a
0x7d,0x19,0x1a
0x7e,0x19,0x1a
0x7f,0x19,0x1a
0x80,0x19,0x1a
0x81,0x19,0x1a
0x82,0x19,0x1a
0x83,0x19,0x1a
0x84,0x19,0x1a
0x85,0x19,0x1a
0x86,0x19,0x1a
0x87,0x19,0x1a
0x88,0x19,0x1a
0x89,0x19,0x1a
0x8a,0x19,0x1a
0x8b,0x19,0x1a
0x8c,0x19,0x1a
0x8d,0x19,0x1a
0x8e,0x19,0x1a
0x8f,0x19,0x1a
0x90,0x19,0x1a
0x91,0x19,0x1a
0x92,0x19,0x1a
0x93,0x19,0x1a
0x94,0x19,0x1a
0x95,0x19,0x1a
0x96,0x19,0x1a
0x97,0x19,0x1a
0x98,0x19,0x1a
0x99,0x19,0x1a
0x9a,0x19,0x1a
0x9b,0x19,0x1a
0x9c,0x19,0x1a
0x9d,0x19,0x1a
0x9e,0x19,0x1a
0x9f,0x19,0x1a
0xa0,0x19,0x1a
0xa1,0x19,0x1a
0xa2,0x19,0x1a
0xa3,0x19,0x1a
0xa4,0x19,0x1a
0xa5,0x19,0x1a
0xa6,0x19,0x1a
0xa7,0x19,0x1a
0xa8,0x19,0x1a
0xa9,0x19,0x1a
0xaa,0x19,0x1a
0xab,0x19,0x1a
0xac,0x19,0x1a
0xad,0x19,0x1a
0xae,0x19,0x1a
0xaf,0x19,0x1a
0xb0,0x19,0x1a
0xb1,0x19,0x1a
0xb2,0x19,0x1a
0xb3,0x19,0x1a
0xb4,0x19,0x1a
0xb5,0x19,0x1a
0xb6,0x19,0x1a
0xb7,0x19,0x1a
0xb8,0x19,0x1a
0xb9,0x19,0x1a
0xba,0x19,0x1a
0xbb,0x19,0x1a
0xbc,0x19,0x1a
0xbd,0x19,0x1a
0xbe,0x19,0x1a
0xbf,0x19,0x1a
0xc0,0x19,0x1a
0xc1,0x19,0x1a
0xc2,0x19,0x1a
0xc3,0x19,0x1a
0xc4,0x19,0x1a
0xc5,0x19,0x1a
0xc6,0x19,0x1a
0xc7,0x19,0x1a
0xc8,0x19,0x1a
0xc9,0x19,0x1a
0xca,0x19,0x1a
0xcb,0x19,0x1a
0xcc,0x19,0x1a
0xcd,0x19,0x1a
0xce,0x19,0x1a
0xcf,0x19,0x1a
0xd0,0x19,0x1a
0xd1,0x19,0x1a
0xd2,0x19,0x1a
0xd3,0x19,0x1a
0xd4,0x19,0x1a
0xd5,0x19,0x1a
0xd6,0x19,0x1a
0xd7,0x19,0x1a
0xd8,0x19,0x1a
0xd9,0x19,0x1a
0xda,0x19,0x1a
0xdb,0x19,0x1a
0xdc,0x19,0x1a
0xdd,0x19,0x1a
0xde,0x19,0x1a
0xdf,0x19,0x1a
0xe0,0x19,0x1a
0xe1,0x19,0x1a
0xe2,0x19,0x1a
0xe3,0x19,0x1a
0xe4,0x19,0x1a
0xe5,0x19,0x1a
0xe6,0x19,0x1a
0xe7,0x19,0x1a
0xe8,0x19,0x1a
0xe9,0x19,0x1a
0xea,0x19,0x1a
0xeb,0x19,0x1a
0xec,0x19,0x1a
0xed,0x19,0x1a
0xee,0x19,0x1a
0xef,0x19,0x1a
0xf0,0x19,0x1a
0xf1,0x19,0x1a
0xf2,0x19,0x1a
0xf3,0x19,0x1a
0xf4,0x19,0x1a
0xf5,0x19,0x1a
0xf6,0x19,0x1a
0xf7,0x19,0x1a
0xf8,0x19,0x1a
0xf9,0x19,0x1a
0xfa,0x19,0x1a
0xfb,0x19,0x1a
0xfc,0x19,0x1a
0xfd,0x19,0x1a
